round_epochs,val_loss,loss,dropout1,dropout2,epochs,units1,units2,lr
11,0.21134841828434556,0.17292855280676697,0.0,0.0,11,26,12,1.4
18,0.2062642298362873,0.1459032388405751,0.0,0.0,18,22,11,4.55
7,0.21485429716525775,0.17736850507091295,0.0,0.0,7,29,12,2.3
16,0.20597327404811752,0.1462862452302549,0.0,0.0,16,26,10,4.1
10,0.21385095010395921,0.16231292963417526,0.0,0.0,10,45,11,2.3
11,0.20957633327035344,0.16405435837283522,0.0,0.0,11,34,11,1.8499999999999999
3,0.2574984732861093,0.2628271205195971,0.0,0.0,3,21,18,1.8499999999999999
2,0.32399706961282715,0.3753575509280161,0.0,0.0,2,22,15,0.95
9,0.21354570647210597,0.16198479206789107,0.0,0.0,9,26,17,2.3
4,0.2388481569186275,0.23396826270414667,0.0,0.0,4,28,16,3.1999999999999997
18,0.20750392152073596,0.15321180980607352,0.0,0.0,18,21,13,4.1
2,0.32037130491666027,0.3915828453615155,0.0,0.0,2,36,12,2.3
6,0.21723301367822037,0.17714098962693434,0.0,0.0,6,42,20,2.75
16,0.20860499422794335,0.14120127051985232,0.0,0.0,16,40,10,2.75
17,0.21188310970408206,0.12017902756939415,0.0,0.0,17,49,16,1.8499999999999999
5,0.2135585975023656,0.18250597821397274,0.0,0.0,5,45,17,0.5
9,0.21273535353685516,0.15412210401088472,0.0,0.0,9,48,16,4.1
5,0.21977807746993172,0.19276898446815466,0.0,0.0,5,40,23,4.1
8,0.2144450102821155,0.18449138302484702,0.0,0.0,8,23,12,3.1999999999999997
2,0.28365437085851863,0.3110581080035335,0.0,0.0,2,32,16,0.5
6,0.21130156140441728,0.17891579632665597,0.0,0.0,6,37,17,3.1999999999999997
14,0.2082206632836452,0.14998915934818688,0.0,0.0,14,35,18,3.6499999999999995
6,0.22145754751426722,0.1924580884775639,0.0,0.0,6,45,19,4.55
3,0.2610284585773555,0.2754094330341765,0.0,0.0,3,39,15,4.55
17,0.21087196248549003,0.138190472180269,0.0,0.0,17,29,15,2.75
6,0.22797636255979017,0.19907345563646348,0.0,0.0,6,23,21,3.6499999999999995
